ID	CDC1551.1.halflife	CDC1551.2.halflife	Comp.1.halflife	Comp.2.halflife
sp|O00170|AIP_HUMANAHreceptor-interactingproteinOS=HomosapiensGN=AIPPE=1SV=2;tr|E9PMH2|E9PMH2_HUMANPeptidylprolylisomerase(Fragment)OS=HomosapiensGN=AIPPE=1SV=2;tr|V9GYQ3|V9GYQ3_HUMANAHreceptor-interactingprotein(Fragment)OS=HomosapiensGN=AIPPE=1SV=1	26.5531299	30.65117977	36.66094244	29.76807425
sp|O00182|LEG9_HUMANGalectin-9OS=HomosapiensGN=LGALS9PE=1SV=2;tr|J3KSY2|J3KSY2_HUMANGalectinOS=HomosapiensGN=LGALS9CPE=4SV=1;sp|Q6DKI2|LEG9C_HUMANGalectin-9COS=HomosapiensGN=LGALS9CPE=1SV=2;sp|Q3B8N2|LEG9B_HUMANGalectin-9BOS=HomosapiensGN=LGALS9BPE=1SV=3;tr|J3QS92|J3QS92_HUMANGalectin(Fragment)OS=HomosapiensGN=LGALS9PE=1SV=1;tr|J3KSA0|J3KSA0_HUMANGalectin(Fragment)OS=HomosapiensGN=LGALS9PE=1SV=1;tr|J3QSH0|J3QSH0_HUMANGalectin(Fragment)OS=HomosapiensGN=LGALS9CPE=4SV=1;tr|J3KS82|J3KS82_HUMANGalectin(Fragment)OS=HomosapiensGN=LGALS9PE=1SV=1;tr|J3KT17|J3KT17_HUMANGalectinOS=HomosapiensGN=LGALS9CPE=4SV=1;tr|J3QR96|J3QR96_HUMANGalectinOS=HomosapiensGN=LGALS9CPE=4SV=1	24.03215119	24.69371997	26.8725851	27.23279517
sp|O00203|AP3B1_HUMANAP-3complexsubunitbeta-1OS=HomosapiensGN=AP3B1PE=1SV=3;tr|F5GWU4|F5GWU4_HUMANAP-3complexsubunitbeta-2(Fragment)OS=HomosapiensGN=AP3B2PE=1SV=1;sp|Q13367|AP3B2_HUMANAP-3complexsubunitbeta-2OS=HomosapiensGN=AP3B2PE=1SV=2;tr|F5GYB0|F5GYB0_HUMANAP-3complexsubunitbeta-2OS=HomosapiensGN=AP3B2PE=1SV=1	46.88827779	48.80648442	44.85823116	45.82119854
sp|O00299|CLIC1_HUMANChlorideintracellularchannelprotein1OS=HomosapiensGN=CLIC1PE=1SV=4	54.28217761	56.18377633	54.67242412	55.00801548
sp|O00303|EIF3F_HUMANEukaryotictranslationinitiationfactor3subunitFOS=HomosapiensGN=EIF3FPE=1SV=1;tr|H0YDT6|H0YDT6_HUMANEukaryotictranslationinitiationfactor3subunitF(Fragment)OS=HomosapiensGN=EIF3FPE=1SV=1;tr|A0A0D9SEZ9|A0A0D9SEZ9_HUMANEukaryotictranslationinitiationfactor3subunitFOS=HomosapiensGN=EIF3FPE=3SV=1;tr|E9PQV8|E9PQV8_HUMANEukaryotictranslationinitiationfactor3subunitFOS=HomosapiensGN=EIF3FPE=1SV=1	38.83020463	40.19073683	44.4660651	45.59924074
sp|O14744|ANM5_HUMANProteinarginineN-methyltransferase5OS=HomosapiensGN=PRMT5PE=1SV=4;tr|G3V580|G3V580_HUMANProteinarginineN-methyltransferase5(Fragment)OS=HomosapiensGN=PRMT5PE=1SV=1;tr|G3V2L6|G3V2L6_HUMANProteinarginineN-methyltransferase5(Fragment)OS=HomosapiensGN=PRMT5PE=1SV=1;tr|C9JSX3|C9JSX3_HUMANProteinarginineN-methyltransferase5(Fragment)OS=HomosapiensGN=PRMT5PE=1SV=2;tr|G3V5L5|G3V5L5_HUMANProteinarginineN-methyltransferase5(Fragment)OS=HomosapiensGN=PRMT5PE=1SV=8;tr|G3V2X6|G3V2X6_HUMANProteinarginineN-methyltransferase5(Fragment)OS=HomosapiensGN=PRMT5PE=1SV=1;tr|H0YJX6|H0YJX6_HUMANProteinarginineN-methyltransferase5(Fragment)OS=HomosapiensGN=PRMT5PE=1SV=1;tr|G3V507|G3V507_HUMANProteinarginineN-methyltransferase5OS=HomosapiensGN=PRMT5PE=1SV=1;tr|G3V2F5|G3V2F5_HUMANProteinarginineN-methyltransferase5OS=HomosapiensGN=PRMT5PE=1SV=1;tr|H0YJ77|H0YJ77_HUMANProteinarginineN-methyltransferase5(Fragment)OS=HomosapiensGN=PRMT5PE=1SV=1;tr|G3V5T6|G3V5T6_HUMANProteinarginineN-methyltransferase5(Fragment)OS=HomosapiensGN=PRMT5PE=1SV=1	62.35019292	70.01504009	57.61538171	65.75703465
sp|O14773|TPP1_HUMANTripeptidyl-peptidase1OS=HomosapiensGN=TPP1PE=1SV=2	38.45477067	37.72732674	37.19026499	36.79949986
sp|O14828|SCAM3_HUMANSecretorycarrier-associatedmembraneprotein3OS=HomosapiensGN=SCAMP3PE=1SV=3	27.52470977	28.79843164	32.08417553	29.98455877
sp|O15143|ARC1B_HUMANActin-relatedprotein2/3complexsubunit1BOS=HomosapiensGN=ARPC1BPE=1SV=3;tr|C9J4Z7|C9J4Z7_HUMANActin-relatedprotein2/3complexsubunit1B(Fragment)OS=HomosapiensGN=ARPC1BPE=1SV=1;tr|F8VXW2|F8VXW2_HUMANActin-relatedprotein2/3complexsubunit1BOS=HomosapiensGN=ARPC1BPE=1SV=2;tr|C9JEY1|C9JEY1_HUMANActin-relatedprotein2/3complexsubunit1B(Fragment)OS=HomosapiensGN=ARPC1BPE=1SV=1;tr|C9JQM8|C9JQM8_HUMANActin-relatedprotein2/3complexsubunit1B(Fragment)OS=HomosapiensGN=ARPC1BPE=1SV=8;tr|C9JFG9|C9JFG9_HUMANActin-relatedprotein2/3complexsubunit1B(Fragment)OS=HomosapiensGN=ARPC1BPE=1SV=8;tr|C9J6C8|C9J6C8_HUMANActin-relatedprotein2/3complexsubunit1B(Fragment)OS=HomosapiensGN=ARPC1BPE=1SV=8;tr|C9JBJ7|C9JBJ7_HUMANActin-relatedprotein2/3complexsubunit1B(Fragment)OS=HomosapiensGN=ARPC1BPE=1SV=1;tr|C9K057|C9K057_HUMANActin-relatedprotein2/3complexsubunit1B(Fragment)OS=HomosapiensGN=ARPC1BPE=1SV=1;tr|C9JTT6|C9JTT6_HUMANActin-relatedprotein2/3complexsubunit1B(Fragment)OS=HomosapiensGN=ARPC1BPE=1SV=8;tr|C9JM51|C9JM51_HUMANActin-relatedprotein2/3complexsubunit1B(Fragment)OS=HomosapiensGN=ARPC1BPE=1SV=1;tr|F8WEB3|F8WEB3_HUMANActin-relatedprotein2/3complexsubunit1BOS=HomosapiensGN=ARPC1BPE=1SV=1	49.0328277	49.87762728	50.27824771	49.80820645
sp|O15144|ARPC2_HUMANActin-relatedprotein2/3complexsubunit2OS=HomosapiensGN=ARPC2PE=1SV=1;tr|C9JTV5|C9JTV5_HUMANArp2/3complex34kDasubunit(Fragment)OS=HomosapiensGN=ARPC2PE=1SV=8;tr|G5E9J0|G5E9J0_HUMANArp2/3complex34kDasubunitOS=HomosapiensGN=ARPC2PE=1SV=1;tr|H7C3F9|H7C3F9_HUMANArp2/3complex34kDasubunit(Fragment)OS=HomosapiensGN=ARPC2PE=1SV=1;tr|G5E9S7|G5E9S7_HUMANActinrelatedprotein2/3complex,subunit2,34kDa,isoformCRA_eOS=HomosapiensGN=ARPC2PE=1SV=1	47.88202197	50.80240867	49.83386453	53.05010174
