ID	CDC1551.1.halflife	CDC1551.2.halflife	dPPE38.1.halflife	dPPE38.2.halflife
sp|O00182|LEG9_HUMANGalectin-9OS=HomosapiensGN=LGALS9PE=1SV=2;tr|J3KSY2|J3KSY2_HUMANGalectinOS=HomosapiensGN=LGALS9CPE=4SV=1;sp|Q6DKI2|LEG9C_HUMANGalectin-9COS=HomosapiensGN=LGALS9CPE=1SV=2;sp|Q3B8N2|LEG9B_HUMANGalectin-9BOS=HomosapiensGN=LGALS9BPE=1SV=3;tr|J3QS92|J3QS92_HUMANGalectin(Fragment)OS=HomosapiensGN=LGALS9PE=1SV=1;tr|J3KSA0|J3KSA0_HUMANGalectin(Fragment)OS=HomosapiensGN=LGALS9PE=1SV=1;tr|J3QSH0|J3QSH0_HUMANGalectin(Fragment)OS=HomosapiensGN=LGALS9CPE=4SV=1;tr|J3KS82|J3KS82_HUMANGalectin(Fragment)OS=HomosapiensGN=LGALS9PE=1SV=1;tr|J3KT17|J3KT17_HUMANGalectinOS=HomosapiensGN=LGALS9CPE=4SV=1;tr|J3QR96|J3QR96_HUMANGalectinOS=HomosapiensGN=LGALS9CPE=4SV=1	24.03215119	24.69371997	27.38845734	27.30619343
sp|O00203|AP3B1_HUMANAP-3complexsubunitbeta-1OS=HomosapiensGN=AP3B1PE=1SV=3;tr|F5GWU4|F5GWU4_HUMANAP-3complexsubunitbeta-2(Fragment)OS=HomosapiensGN=AP3B2PE=1SV=1;sp|Q13367|AP3B2_HUMANAP-3complexsubunitbeta-2OS=HomosapiensGN=AP3B2PE=1SV=2;tr|F5GYB0|F5GYB0_HUMANAP-3complexsubunitbeta-2OS=HomosapiensGN=AP3B2PE=1SV=1	46.88827779	48.80648442	44.71007678	44.77596979
sp|O00232|PSD12_HUMAN26Sproteasomenon-ATPaseregulatorysubunit12OS=HomosapiensGN=PSMD12PE=1SV=3;tr|J3KTJ5|J3KTJ5_HUMAN26Sproteasomenon-ATPaseregulatorysubunit12OS=HomosapiensGN=PSMD12PE=1SV=1;tr|J3KSK1|J3KSK1_HUMAN26Sproteasomenon-ATPaseregulatorysubunit12OS=HomosapiensGN=PSMD12PE=1SV=1	68.15264842	69.13613672	67.75281243	68.15058519
sp|O00299|CLIC1_HUMANChlorideintracellularchannelprotein1OS=HomosapiensGN=CLIC1PE=1SV=4	54.28217761	56.18377633	56.87776523	59.20289428
sp|O00303|EIF3F_HUMANEukaryotictranslationinitiationfactor3subunitFOS=HomosapiensGN=EIF3FPE=1SV=1;tr|H0YDT6|H0YDT6_HUMANEukaryotictranslationinitiationfactor3subunitF(Fragment)OS=HomosapiensGN=EIF3FPE=1SV=1;tr|A0A0D9SEZ9|A0A0D9SEZ9_HUMANEukaryotictranslationinitiationfactor3subunitFOS=HomosapiensGN=EIF3FPE=3SV=1;tr|E9PQV8|E9PQV8_HUMANEukaryotictranslationinitiationfactor3subunitFOS=HomosapiensGN=EIF3FPE=1SV=1	38.83020463	40.19073683	43.81778247	40.9530236
sp|O00429|DNM1L_HUMANDynamin-1-likeproteinOS=HomosapiensGN=DNM1LPE=1SV=2;tr|G8JLD5|G8JLD5_HUMANDynamin-1-likeproteinOS=HomosapiensGN=DNM1LPE=1SV=1;tr|F8VZ52|F8VZ52_HUMANDynamin-1-likeprotein(Fragment)OS=HomosapiensGN=DNM1LPE=1SV=1;tr|F8VUJ9|F8VUJ9_HUMANDynamin-1-likeprotein(Fragment)OS=HomosapiensGN=DNM1LPE=1SV=1;tr|B4DPZ9|B4DPZ9_HUMANDynamin-1-likeproteinOS=HomosapiensGN=DNM1LPE=1SV=1;tr|F8W1W3|F8W1W3_HUMANDynamin-1-likeprotein(Fragment)OS=HomosapiensGN=DNM1LPE=1SV=8;tr|B4DDQ3|B4DDQ3_HUMANDynamin-1-likeproteinOS=HomosapiensGN=DNM1LPE=1SV=1;tr|F8VR28|F8VR28_HUMANDynamin-1-likeproteinOS=HomosapiensGN=DNM1LPE=1SV=1;tr|F8VYL3|F8VYL3_HUMANDynamin-1-likeproteinOS=HomosapiensGN=DNM1LPE=1SV=1;tr|H0YI79|H0YI79_HUMANDynamin-1-likeprotein(Fragment)OS=HomosapiensGN=DNM1LPE=1SV=1;tr|H0YHY4|H0YHY4_HUMANDynamin-1-likeprotein(Fragment)OS=HomosapiensGN=DNM1LPE=1SV=1	49.17594066	50.00122817	50.16340889	53.64549401
sp|O14744|ANM5_HUMANProteinarginineN-methyltransferase5OS=HomosapiensGN=PRMT5PE=1SV=4;tr|G3V580|G3V580_HUMANProteinarginineN-methyltransferase5(Fragment)OS=HomosapiensGN=PRMT5PE=1SV=1;tr|G3V2L6|G3V2L6_HUMANProteinarginineN-methyltransferase5(Fragment)OS=HomosapiensGN=PRMT5PE=1SV=1;tr|C9JSX3|C9JSX3_HUMANProteinarginineN-methyltransferase5(Fragment)OS=HomosapiensGN=PRMT5PE=1SV=2;tr|G3V5L5|G3V5L5_HUMANProteinarginineN-methyltransferase5(Fragment)OS=HomosapiensGN=PRMT5PE=1SV=8;tr|G3V2X6|G3V2X6_HUMANProteinarginineN-methyltransferase5(Fragment)OS=HomosapiensGN=PRMT5PE=1SV=1;tr|H0YJX6|H0YJX6_HUMANProteinarginineN-methyltransferase5(Fragment)OS=HomosapiensGN=PRMT5PE=1SV=1;tr|G3V507|G3V507_HUMANProteinarginineN-methyltransferase5OS=HomosapiensGN=PRMT5PE=1SV=1;tr|G3V2F5|G3V2F5_HUMANProteinarginineN-methyltransferase5OS=HomosapiensGN=PRMT5PE=1SV=1;tr|H0YJ77|H0YJ77_HUMANProteinarginineN-methyltransferase5(Fragment)OS=HomosapiensGN=PRMT5PE=1SV=1;tr|G3V5T6|G3V5T6_HUMANProteinarginineN-methyltransferase5(Fragment)OS=HomosapiensGN=PRMT5PE=1SV=1	62.35019292	70.01504009	68.35048564	61.27212436
sp|O14773|TPP1_HUMANTripeptidyl-peptidase1OS=HomosapiensGN=TPP1PE=1SV=2	38.45477067	37.72732674	37.36426874	35.7029037
sp|O14828|SCAM3_HUMANSecretorycarrier-associatedmembraneprotein3OS=HomosapiensGN=SCAMP3PE=1SV=3	27.52470977	28.79843164	31.34313933	30.113772
sp|O15127|SCAM2_HUMANSecretorycarrier-associatedmembraneprotein2OS=HomosapiensGN=SCAMP2PE=1SV=2;tr|H3BV04|H3BV04_HUMANSecretorycarrier-associatedmembraneprotein(Fragment)OS=HomosapiensGN=SCAMP2PE=1SV=1;tr|H3BN93|H3BN93_HUMANSecretorycarrier-associatedmembraneproteinOS=HomosapiensGN=SCAMP2PE=1SV=1;tr|H3BUB6|H3BUB6_HUMANSecretorycarrier-associatedmembraneprotein(Fragment)OS=HomosapiensGN=SCAMP2PE=1SV=1;tr|H3BPL9|H3BPL9_HUMANSecretorycarrier-associatedmembraneprotein(Fragment)OS=HomosapiensGN=SCAMP2PE=1SV=1	31.37186212	33.04284921	29.49682964	29.25580124
