Protein IDs	CDC1551-1.count	CDC1551-1.rsq	CDC1551-1.kdp	CDC1551-1.halflife	CDC1551-1.count.z	CDC1551-1.rsq.z	CDC1551-1.kdp.z	CDC1551-1.halflife.z	CDC1551-2.count	CDC1551-2.rsq	CDC1551-2.kdp	CDC1551-2.halflife	CDC1551-2.count.z	CDC1551-2.rsq.z	CDC1551-2.kdp.z	CDC1551-2.halflife.z	dPPE38-1.count	dPPE38-1.rsq	dPPE38-1.kdp	dPPE38-1.halflife	dPPE38-1.count.z	dPPE38-1.rsq.z	dPPE38-1.kdp.z	dPPE38-1.halflife.z	dPPE38-2.count	dPPE38-2.rsq	dPPE38-2.kdp	dPPE38-2.halflife	dPPE38-2.count.z	dPPE38-2.rsq.z	dPPE38-2.kdp.z	dPPE38-2.halflife.z	Comp-1.count	Comp-1.rsq	Comp-1.kdp	Comp-1.halflife	Comp-1.count.z	Comp-1.rsq.z	Comp-1.kdp.z	Comp-1.halflife.z	Comp-2.count	Comp-2.rsq	Comp-2.kdp	Comp-2.halflife	Comp-2.count.z	Comp-2.rsq.z	Comp-2.kdp.z	Comp-2.halflife.z	Uninfected-1.count	Uninfected-1.rsq	Uninfected-1.kdp	Uninfected-1.halflife	Uninfected-1.count.z	Uninfected-1.rsq.z	Uninfected-1.kdp.z	Uninfected-1.halflife.z	Uninfected-2.count	Uninfected-2.rsq	Uninfected-2.kdp	Uninfected-2.halflife	Uninfected-2.count.z	Uninfected-2.rsq.z	Uninfected-2.kdp.z	Uninfected-2.halflife.z
sp|A0AVT1|UBA6_HUMANUbiquitin-likemodifier-activatingenzyme6OS=HomosapiensGN=UBA6PE=1SV=1;tr|H0Y8S8|H0Y8S8_HUMANUbiquitin-likemodifier-activatingenzyme6(Fragment)OS=HomosapiensGN=UBA6PE=1SV=1	1	NaN	0.013340009	51.96002213	2	1	0.013340009	51.96002213	1	NaN	0.015117586	45.85038646	2	1	0.015117586	45.85038646	0	NaN	NaN	NaN	1	NaN	0	NaN	0	NaN	NaN	NaN	1	NaN	0	NaN	0	NaN	NaN	NaN	1	NaN	0	NaN	0	NaN	NaN	NaN	1	NaN	0	NaN	0	NaN	NaN	NaN	1	NaN	0	NaN	0	NaN	NaN	NaN	1	NaN	0	NaN
sp|A5YKK6|CNOT1_HUMANCCR4-NOTtranscriptioncomplexsubunit1OS=HomosapiensGN=CNOT1PE=1SV=2;tr|H3BNB1|H3BNB1_HUMANCCR4-NOTtranscriptioncomplexsubunit1(Fragment)OS=HomosapiensGN=CNOT1PE=1SV=1;tr|H3BVC9|H3BVC9_HUMANCCR4-NOTtranscriptioncomplexsubunit1(Fragment)OS=HomosapiensGN=CNOT1PE=1SV=1;tr|H3BMZ2|H3BMZ2_HUMANCCR4-NOTtranscriptioncomplexsubunit1(Fragment)OS=HomosapiensGN=CNOT1PE=1SV=1	0	NaN	NaN	NaN	1	NaN	0	NaN	0	NaN	NaN	NaN	1	NaN	0	NaN	0	NaN	NaN	NaN	1	NaN	0	NaN	0	NaN	NaN	NaN	1	NaN	0	NaN	0	NaN	NaN	NaN	1	NaN	0	NaN	0	NaN	NaN	NaN	1	NaN	0	NaN	0	NaN	NaN	NaN	1	NaN	0	NaN	0	NaN	NaN	NaN	1	NaN	0	NaN
sp|A6NDG6|PGP_HUMANGlycerol-3-phosphatephosphataseOS=HomosapiensGN=PGPPE=1SV=1;tr|H3BV17|H3BV17_HUMANGlycerol-3-phosphatephosphatase(Fragment)OS=HomosapiensGN=PGPPE=1SV=1	0	NaN	NaN	NaN	1	NaN	0	NaN	2	1	0.010897043	63.60874326	3	0.825626044	0.010897043	63.60874326	2	1	0.012244493	56.60889276	3	0.996729798	0.012244493	56.60889276	2	1	0.024864244	27.87726697	3	0.861384491	0.024864244	27.87726697	0	NaN	NaN	NaN	1	NaN	0	NaN	2	1	0.01482093	46.76813023	3	0.635702707	0.01482093	46.76813023	1	NaN	0.018481338	37.50524976	2	1	0.018481338	37.50524976	2	1	0.017596416	39.39138348	3	0.413768251	0.017596416	39.39138348
sp|A6NGU5|GGT3_HUMANPutativegamma-glutamyltranspeptidase3OS=HomosapiensGN=GGT3PPE=5SV=2;sp|P19440|GGT1_HUMANGamma-glutamyltranspeptidase1OS=HomosapiensGN=GGT1PE=1SV=2;tr|B5MCK8|B5MCK8_HUMANInactivegamma-glutamyltranspeptidase2OS=HomosapiensGN=GGT2PE=4SV=2;tr|E7ET76|E7ET76_HUMANGamma-glutamyltranspeptidase1(Fragment)OS=HomosapiensGN=GGT1PE=1SV=1;sp|P36268|GGT2_HUMANInactivegamma-glutamyltranspeptidase2OS=HomosapiensGN=GGT2PE=1SV=3;tr|E7ETR7|E7ETR7_HUMANGamma-glutamyltranspeptidase1(Fragment)OS=HomosapiensGN=GGT1PE=1SV=1;tr|B5MC36|B5MC36_HUMANGamma-glutamyltranspeptidase1OS=HomosapiensGN=GGT1PE=1SV=1;sp|Q14390|GGTL2_HUMANGamma-glutamyltransferaselightchain2OS=HomosapiensGN=GGTLC2PE=2SV=4;tr|A0A0C4DG87|A0A0C4DG87_HUMANGamma-glutamyltransferaselightchain2OS=HomosapiensGN=GGTLC2PE=4SV=1;sp|B5MD39|GGTL3_HUMANPutativegamma-glutamyltransferaselightchain3OS=HomosapiensGN=GGTLC3PE=5SV=1;tr|B5MC34|B5MC34_HUMANGamma-glutamyltranspeptidase1OS=HomosapiensGN=GGT1PE=1SV=1	1	NaN	0.027498904	25.20635624	2	1	0.027498904	25.20635624	1	NaN	0.023542024	29.44297364	2	1	0.023542024	29.44297364	2	1	0.030872561	22.45188463	3	0.939042144	0.030872561	22.45188463	2	1	0.026480403	26.1758546	3	0.988950413	0.026480403	26.1758546	0	NaN	NaN	NaN	1	NaN	0	NaN	1	NaN	0.025586577	27.09026609	2	1	0.025586577	27.09026609	3	0.951547118	0.025002271	27.72336916	4	0.983666834	0.025002271	27.72336916	2	1	0.02609624	26.56119013	3	0.771766988	0.02609624	26.56119013
sp|A7E2Y1|MYH7B_HUMANMyosin-7BOS=HomosapiensGN=MYH7BPE=1SV=3;tr|A0A087X0T3|A0A087X0T3_HUMANMyosin-7BOS=HomosapiensGN=MYH7BPE=1SV=1	0	NaN	NaN	NaN	1	NaN	0	NaN	0	NaN	NaN	NaN	1	NaN	0	NaN	0	NaN	NaN	NaN	1	NaN	0	NaN	0	NaN	NaN	NaN	1	NaN	0	NaN	0	NaN	NaN	NaN	1	NaN	0	NaN	0	NaN	NaN	NaN	1	NaN	0	NaN	0	NaN	NaN	NaN	1	NaN	0	NaN	0	NaN	NaN	NaN	1	NaN	0	NaN
sp|B1ANS9|WDR64_HUMANWDrepeat-containingprotein64OS=HomosapiensGN=WDR64PE=2SV=1;tr|A0A0A0MSY1|A0A0A0MSY1_HUMANWDrepeat-containingprotein64(Fragment)OS=HomosapiensGN=WDR64PE=4SV=1	0	NaN	NaN	NaN	1	NaN	0	NaN	0	NaN	NaN	NaN	1	NaN	0	NaN	0	NaN	NaN	NaN	1	NaN	0	NaN	0	NaN	NaN	NaN	1	NaN	0	NaN	0	NaN	NaN	NaN	1	NaN	0	NaN	0	NaN	NaN	NaN	1	NaN	0	NaN	0	NaN	NaN	NaN	1	NaN	0	NaN	0	NaN	NaN	NaN	1	NaN	0	NaN
sp|L0R6Q1|S35U4_HUMANSLC35A4upstreamopenreadingframeproteinOS=HomosapiensGN=SLC35A4PE=3SV=1	0	NaN	NaN	NaN	1	NaN	0	NaN	0	NaN	NaN	NaN	1	NaN	0	NaN	0	NaN	NaN	NaN	1	NaN	0	NaN	0	NaN	NaN	NaN	1	NaN	0	NaN	0	NaN	NaN	NaN	1	NaN	0	NaN	0	NaN	NaN	NaN	1	NaN	0	NaN	0	NaN	NaN	NaN	1	NaN	0	NaN	0	NaN	NaN	NaN	1	NaN	0	NaN
sp|O00115|DNS2A_HUMANDeoxyribonuclease-2-alphaOS=HomosapiensGN=DNASE2PE=1SV=2;tr|K7ENE5|K7ENE5_HUMANDeoxyribonuclease-2-alpha(Fragment)OS=HomosapiensGN=DNASE2PE=1SV=1	0	NaN	NaN	NaN	1	NaN	0	NaN	1	NaN	0.01077782	64.31237045	2	1	0.01077782	64.31237045	0	NaN	NaN	NaN	1	NaN	0	NaN	0	NaN	NaN	NaN	1	NaN	0	NaN	0	NaN	NaN	NaN	1	NaN	0	NaN	0	NaN	NaN	NaN	1	NaN	0	NaN	0	NaN	NaN	NaN	1	NaN	0	NaN	0	NaN	NaN	NaN	1	NaN	0	NaN
sp|O00116|ADAS_HUMANAlkyldihydroxyacetonephosphatesynthase,peroxisomalOS=HomosapiensGN=AGPSPE=1SV=1;tr|A0A1B0GWA2|A0A1B0GWA2_HUMANAlkylglycerone-phosphatesynthase(Fragment)OS=HomosapiensGN=AGPSPE=1SV=1;tr|B8ZZ81|B8ZZ81_HUMANAlkylglycerone-phosphatesynthaseOS=HomosapiensGN=AGPSPE=1SV=1	2	1	0.011430231	60.64157023	3	0.99814636	0.011430231	60.64157023	2	1	0.009803898	70.7011853	3	0.981560667	0.009803898	70.7011853	0	NaN	NaN	NaN	1	NaN	0	NaN	1	NaN	0.009756516	71.04453597	2	1	0.009756516	71.04453597	1	NaN	0.013006397	53.29279049	2	1	0.013006397	53.29279049	1	NaN	0.01175225	58.97995664	2	1	0.01175225	58.97995664	0	NaN	NaN	NaN	1	NaN	0	NaN	1	NaN	0.010360149	66.90513325	2	1	0.010360149	66.90513325
sp|O00148|DX39A_HUMANATP-dependentRNAhelicaseDDX39AOS=HomosapiensGN=DDX39APE=1SV=2;tr|K7EQN7|K7EQN7_HUMANATP-dependentRNAhelicaseDDX39A(Fragment)OS=HomosapiensGN=DDX39APE=1SV=1;tr|K7EPJ3|K7EPJ3_HUMANATP-dependentRNAhelicaseDDX39A(Fragment)OS=HomosapiensGN=DDX39APE=1SV=1;tr|H0Y400|H0Y400_HUMANSpliceosomeRNAhelicaseDDX39B(Fragment)OS=HomosapiensGN=DDX39BPE=1SV=1;tr|K7EN69|K7EN69_HUMANATP-dependentRNAhelicaseDDX39A(Fragment)OS=HomosapiensGN=DDX39APE=1SV=1;tr|K7ENP6|K7ENP6_HUMANATP-dependentRNAhelicaseDDX39A(Fragment)OS=HomosapiensGN=DDX39APE=1SV=1;tr|A0A0G2JHN7|A0A0G2JHN7_HUMANSpliceosomeRNAhelicaseDDX39B(Fragment)OS=HomosapiensGN=DDX39BPE=1SV=4;tr|K7EL56|K7EL56_HUMANATP-dependentRNAhelicaseDDX39A(Fragment)OS=HomosapiensGN=DDX39APE=1SV=1;tr|K7EIL8|K7EIL8_HUMANATP-dependentRNAhelicaseDDX39A(Fragment)OS=HomosapiensGN=DDX39APE=1SV=1;tr|F6U6E2|F6U6E2_HUMANSpliceosomeRNAhelicaseDDX39B(Fragment)OS=HomosapiensGN=DDX39BPE=1SV=1;tr|F6S2B7|F6S2B7_HUMANSpliceosomeRNAhelicaseDDX39B(Fragment)OS=HomosapiensGN=DDX39BPE=1SV=1;tr|F6SXL5|F6SXL5_HUMANSpliceosomeRNAhelicaseDDX39B(Fragment)OS=HomosapiensGN=DDX39BPE=1SV=1	0	NaN	NaN	NaN	1	NaN	0	NaN	0	NaN	NaN	NaN	1	NaN	0	NaN	0	NaN	NaN	NaN	1	NaN	0	NaN	0	NaN	NaN	NaN	1	NaN	0	NaN	0	NaN	NaN	NaN	1	NaN	0	NaN	0	NaN	NaN	NaN	1	NaN	0	NaN	0	NaN	NaN	NaN	1	NaN	0	NaN	0	NaN	NaN	NaN	1	NaN	0	NaN
