ID	dPPE38.1.halflife	dPPE38.2.halflife	Uninfected.1.halflife	Uninfected.2.halflife
sp|O00182|LEG9_HUMANGalectin-9OS=HomosapiensGN=LGALS9PE=1SV=2;tr|J3KSY2|J3KSY2_HUMANGalectinOS=HomosapiensGN=LGALS9CPE=4SV=1;sp|Q6DKI2|LEG9C_HUMANGalectin-9COS=HomosapiensGN=LGALS9CPE=1SV=2;sp|Q3B8N2|LEG9B_HUMANGalectin-9BOS=HomosapiensGN=LGALS9BPE=1SV=3;tr|J3QS92|J3QS92_HUMANGalectin(Fragment)OS=HomosapiensGN=LGALS9PE=1SV=1;tr|J3KSA0|J3KSA0_HUMANGalectin(Fragment)OS=HomosapiensGN=LGALS9PE=1SV=1;tr|J3QSH0|J3QSH0_HUMANGalectin(Fragment)OS=HomosapiensGN=LGALS9CPE=4SV=1;tr|J3KS82|J3KS82_HUMANGalectin(Fragment)OS=HomosapiensGN=LGALS9PE=1SV=1;tr|J3KT17|J3KT17_HUMANGalectinOS=HomosapiensGN=LGALS9CPE=4SV=1;tr|J3QR96|J3QR96_HUMANGalectinOS=HomosapiensGN=LGALS9CPE=4SV=1	27.38845734	27.30619343	27.56671151	28.75246279
sp|O00203|AP3B1_HUMANAP-3complexsubunitbeta-1OS=HomosapiensGN=AP3B1PE=1SV=3;tr|F5GWU4|F5GWU4_HUMANAP-3complexsubunitbeta-2(Fragment)OS=HomosapiensGN=AP3B2PE=1SV=1;sp|Q13367|AP3B2_HUMANAP-3complexsubunitbeta-2OS=HomosapiensGN=AP3B2PE=1SV=2;tr|F5GYB0|F5GYB0_HUMANAP-3complexsubunitbeta-2OS=HomosapiensGN=AP3B2PE=1SV=1	44.71007678	44.77596979	40.04820051	49.38703605
sp|O00754|MA2B1_HUMANLysosomalalpha-mannosidaseOS=HomosapiensGN=MAN2B1PE=1SV=3;tr|M0QZ24|M0QZ24_HUMANUncharacterizedprotein(Fragment)OS=HomosapiensPE=4SV=1;tr|M0R174|M0R174_HUMANLysosomalalpha-mannosidase(Fragment)OS=HomosapiensGN=MAN2B1PE=1SV=1;tr|M0R2P5|M0R2P5_HUMANUncharacterizedprotein(Fragment)OS=HomosapiensPE=4SV=1;tr|M0QYZ1|M0QYZ1_HUMANLysosomalalpha-mannosidase(Fragment)OS=HomosapiensGN=MAN2B1PE=1SV=8;tr|M0QZG6|M0QZG6_HUMANLysosomalalpha-mannosidase(Fragment)OS=HomosapiensGN=MAN2B1PE=4SV=1	24.35497651	24.38263471	23.41259892	25.04329846
sp|O14828|SCAM3_HUMANSecretorycarrier-associatedmembraneprotein3OS=HomosapiensGN=SCAMP3PE=1SV=3	31.34313933	30.113772	29.87508167	24.95599434
sp|O15127|SCAM2_HUMANSecretorycarrier-associatedmembraneprotein2OS=HomosapiensGN=SCAMP2PE=1SV=2;tr|H3BV04|H3BV04_HUMANSecretorycarrier-associatedmembraneprotein(Fragment)OS=HomosapiensGN=SCAMP2PE=1SV=1;tr|H3BN93|H3BN93_HUMANSecretorycarrier-associatedmembraneproteinOS=HomosapiensGN=SCAMP2PE=1SV=1;tr|H3BUB6|H3BUB6_HUMANSecretorycarrier-associatedmembraneprotein(Fragment)OS=HomosapiensGN=SCAMP2PE=1SV=1;tr|H3BPL9|H3BPL9_HUMANSecretorycarrier-associatedmembraneprotein(Fragment)OS=HomosapiensGN=SCAMP2PE=1SV=1	29.49682964	29.25580124	27.75236704	18.92542238
sp|O15144|ARPC2_HUMANActin-relatedprotein2/3complexsubunit2OS=HomosapiensGN=ARPC2PE=1SV=1;tr|C9JTV5|C9JTV5_HUMANArp2/3complex34kDasubunit(Fragment)OS=HomosapiensGN=ARPC2PE=1SV=8;tr|G5E9J0|G5E9J0_HUMANArp2/3complex34kDasubunitOS=HomosapiensGN=ARPC2PE=1SV=1;tr|H7C3F9|H7C3F9_HUMANArp2/3complex34kDasubunit(Fragment)OS=HomosapiensGN=ARPC2PE=1SV=1;tr|G5E9S7|G5E9S7_HUMANActinrelatedprotein2/3complex,subunit2,34kDa,isoformCRA_eOS=HomosapiensGN=ARPC2PE=1SV=1	51.95031508	50.80085357	50.72494394	51.56080477
sp|O15145|ARPC3_HUMANActin-relatedprotein2/3complexsubunit3OS=HomosapiensGN=ARPC3PE=1SV=3;tr|F8VR50|F8VR50_HUMANActin-relatedprotein2/3complexsubunit3(Fragment)OS=HomosapiensGN=ARPC3PE=1SV=1;tr|C9JZD1|C9JZD1_HUMANActin-relatedprotein2/3complexsubunit3(Fragment)OS=HomosapiensGN=ARPC3PE=1SV=1	41.97730744	40.61380385	41.12801456	40.33003789
sp|O15511|ARPC5_HUMANActin-relatedprotein2/3complexsubunit5OS=HomosapiensGN=ARPC5PE=1SV=3;tr|B1ALC0|B1ALC0_HUMANActin-relatedprotein2/3complexsubunit5OS=HomosapiensGN=ARPC5PE=1SV=1	38.81355666	38.66127298	37.21331571	35.01716755
sp|O43312|MTSS1_HUMANMetastasissuppressorprotein1OS=HomosapiensGN=MTSS1PE=1SV=2;tr|H0YB53|H0YB53_HUMANMetastasissuppressorprotein1(Fragment)OS=HomosapiensGN=MTSS1PE=1SV=1;tr|E7EWW5|E7EWW5_HUMANMetastasissuppressorprotein1OS=HomosapiensGN=MTSS1PE=1SV=1;tr|H0YAZ8|H0YAZ8_HUMANMetastasissuppressorprotein1(Fragment)OS=HomosapiensGN=MTSS1PE=1SV=1;tr|H0YBL3|H0YBL3_HUMANMetastasissuppressorprotein1(Fragment)OS=HomosapiensGN=MTSS1PE=1SV=1;tr|E5RJX3|E5RJX3_HUMANMetastasissuppressorprotein1(Fragment)OS=HomosapiensGN=MTSS1PE=1SV=1	23.91545172	25.46901291	23.69202252	21.90637883
sp|O43396|TXNL1_HUMANThioredoxin-likeprotein1OS=HomosapiensGN=TXNL1PE=1SV=3;tr|K7ER96|K7ER96_HUMANThioredoxin-likeprotein1(Fragment)OS=HomosapiensGN=TXNL1PE=1SV=1;tr|K7EML9|K7EML9_HUMANThioredoxin-likeprotein1(Fragment)OS=HomosapiensGN=TXNL1PE=1SV=1;tr|K7EKG2|K7EKG2_HUMANThioredoxin-likeprotein1(Fragment)OS=HomosapiensGN=TXNL1PE=1SV=1;tr|K7EPB7|K7EPB7_HUMANThioredoxin-likeprotein1OS=HomosapiensGN=TXNL1PE=1SV=1;tr|K7EME7|K7EME7_HUMANThioredoxin-likeprotein1(Fragment)OS=HomosapiensGN=TXNL1PE=1SV=1	35.47830976	36.78549747	36.79968919	36.22684961
